utr_id,razorpay_txn_id,settled_amount,settlement_date
UTR6DF20A308A,pay_38cda253,3309.87,2026-08-24 10:00:00
UTR31054A532C,pay_ea0e0372,600.3,2026-08-24 10:10:00
UTRE7E72CDE7B,pay_6a61756d,1702.88,2026-08-24 10:20:00
UTRBE30D40DF5,pay_95fed272,1474.3600000000001,2026-08-24 10:30:00
UTRD6022791CD,pay_88a1de2f,3737.8399999999997,2026-08-24 10:40:00
UTR26211ED596,pay_c807a605,3474.25,2026-08-24 10:50:00
UTR441B282466,pay_dddc585f,4424.51,2026-08-24 11:00:00
UTR2B060497D9,pay_5466438f,873.4,2026-08-24 11:10:00
UTR41F5F00826,pay_db509082,2350.6800000000003,2026-08-24 11:20:00
UTR23F2640EA1,pay_c7df1f33,621.4100000000001,2026-08-24 11:30:00
UTR39C558A66E,pay_74646c28,1454.1899999999998,2026-08-24 11:40:00
UTRF47B84CDA3,pay_5171c894,2718.62,2026-08-24 11:50:00
UTRF5D59796AB,pay_cf22bdc0,607.02,2026-08-24 12:00:00
UTRD66B18A04C,pay_d05f4cfa,1366.87,2026-08-24 12:10:00
UTRA78A785198,pay_6e9c773d,3355.9900000000002,2026-08-24 12:20:00
UTR437246E755,pay_bc18ce99,2893.2,2026-08-24 12:30:00
UTRDFA4E1F261,pay_fd0b77dc,1462.14,2026-08-24 12:40:00
UTR12754AC5B6,pay_c8947593,3088.6699999999996,2026-08-24 12:50:00
UTRCC91A55BBB,pay_2f975b1a,4059.5899999999997,2026-08-24 13:00:00
UTRC2B88EEDAF,pay_35d995b9,518.66,2026-08-24 13:10:00
UTR5052EB6CA1,pay_e36791a5,4043.6699999999996,2026-08-24 13:20:00
UTR1372DFEEBC,pay_9745af88,3568.8,2026-08-24 13:30:00
UTR8B56B83F59,pay_3bec416b,1990.5100000000002,2026-08-24 13:40:00
UTR1760B1D7F4,pay_bf3cd35a,1175.67,2026-08-24 13:50:00
UTRA17B06EE03,pay_9e0628d1,4711.31,2026-08-24 14:00:00
UTR97CCEAB66C,pay_a804b31a,1974.39,2026-08-24 14:10:00
UTR90856390D8,pay_f3cce404,899.01,2026-08-24 14:20:00
UTR8D51CAF9F1,pay_b77115c8,916.52,2026-08-24 14:30:00
UTR5341CC92B1,pay_30910be7,4227.45,2026-08-24 14:40:00
UTRE215DAEDC6,pay_d3b57e9c,3152.43,2026-08-24 14:50:00
UTR201AF67CE1,pay_b49cc29f,4049.44,2026-08-24 15:00:00
UTR5ACD6B6055,pay_789cd8ff,3708.11,2026-08-24 15:10:00
UTRDA8673E25F,pay_7815bf6c,2854.77,2026-08-24 15:20:00
UTRDAD1BBBBE0,pay_e94f7c60,4781.4400000000005,2026-08-24 15:30:00
UTR0F985F85C0,pay_d5a4d3b2,2159.33,2026-08-24 15:40:00
UTRFEBE659FFB,pay_3fd97ea7,2924.5,2026-08-24 15:50:00
UTRAB8B18BC76,pay_dd1ace03,4147.67,2026-08-24 16:00:00
UTR7EF885AF83,pay_7b3df999,3217.67,2026-08-24 16:10:00
UTRD05C735194,pay_b2ee1061,4290.13,2026-08-24 16:20:00
UTRC3452A3809,pay_36d368aa,3036.12,2026-08-24 16:30:00
UTRD906C271CD,pay_89814001,3597.1600000000003,2026-08-24 16:40:00
UTR504C52E1FA,pay_8b12c6d0,692.09,2026-08-24 16:50:00
UTR09DE33B2A0,pay_82bf7b78,1495.03,2026-08-24 17:00:00
UTR900C1260ED,pay_9bf35bcd,1766.2,2026-08-24 17:10:00
UTR84C713BE9E,pay_894c9858,841.88,2026-08-26 00:39:00
UTR8E6D640655,pay_12b7536e,1516.61,2026-08-26 00:40:00
UTRD22F390C74,pay_401ef501,935.42,2026-08-26 00:41:00
UTRB4B3040B8F,pay_1f6d3f54,1715.8600000000001,2026-08-26 00:42:00
UTR43988BFFEA,pay_76c867fb,3293.37,2026-08-26 00:43:00
UTRA52DF45980,pay_98d62904,2098.91,2026-08-26 00:44:00
UTR886AAF4DC0,pay_0c337103,2122.49,2026-08-26 00:45:00
UTR34C15A6034,pay_59ef89f8,1413.92,2026-08-26 00:46:00
UTRBBE31F57CF,pay_d8ac814e,816.6700000000001,2026-08-24 18:40:00
UTR2AF84C7610,pay_653e49e2,2263.18,2026-08-24 18:50:00
UTR1AA8786D72,pay_460d0d66,1639.7599999999998,2026-08-24 19:00:00
UTRD99F30E308,pay_9f446d69,1555.72,2026-08-24 19:10:00
UTR830E808F65,pay_47a389fe,609.6599999999999,2026-08-24 19:20:00
UTRCF83E5DA2E,pay_1d2fae31,1814.9100000000003,2026-08-24 19:30:00
UTRDFBC5C6646,pay_de3eb52f,592.9499999999999,2026-08-24 19:40:00
UTR98DB51E6AB,pay_f18a9359,1059.6200000000001,2026-08-24 19:50:00
