invoice_id,linked_txn_id,invoice_amount,expected_settlement
INV-1000,pay_38cda253,3377.42,3309.87
INV-1001,pay_ea0e0372,612.55,600.3
INV-1002,pay_6a61756d,1737.63,1702.88
INV-1003,pay_95fed272,1504.45,1474.3600000000001
INV-1004,pay_88a1de2f,3814.12,3737.8399999999997
INV-1005,pay_c807a605,3545.15,3474.25
INV-1006,pay_dddc585f,4514.81,4424.51
INV-1007,pay_5466438f,891.22,873.4
INV-1008,pay_db509082,2398.65,2350.6800000000003
INV-1009,pay_c7df1f33,634.09,621.4100000000001
INV-1010,pay_74646c28,1483.87,1454.1899999999998
INV-1011,pay_5171c894,2774.1,2718.62
INV-1012,pay_cf22bdc0,619.41,607.02
INV-1013,pay_d05f4cfa,1394.77,1366.87
INV-1014,pay_6e9c773d,3424.48,3355.9900000000002
INV-1015,pay_bc18ce99,2952.24,2893.2
INV-1016,pay_fd0b77dc,1491.98,1462.14
INV-1017,pay_c8947593,3151.7,3088.6699999999996
INV-1018,pay_2f975b1a,4142.44,4059.5899999999997
INV-1019,pay_35d995b9,529.24,518.66
INV-1020,pay_e36791a5,4126.19,4043.6699999999996
INV-1021,pay_9745af88,3641.63,3568.8
INV-1022,pay_3bec416b,2031.13,1990.5100000000002
INV-1023,pay_bf3cd35a,1199.66,1175.67
INV-1024,pay_9e0628d1,4807.46,4711.31
INV-1025,pay_a804b31a,2014.68,1974.39
INV-1026,pay_f3cce404,917.36,899.01
INV-1027,pay_b77115c8,935.22,916.52
INV-1028,pay_30910be7,4313.72,4227.45
INV-1029,pay_d3b57e9c,3216.77,3152.43
INV-1030,pay_b49cc29f,4132.08,4049.44
INV-1031,pay_789cd8ff,3783.79,3708.11
INV-1032,pay_7815bf6c,2913.03,2854.77
INV-1033,pay_e94f7c60,4879.02,4781.4400000000005
INV-1034,pay_d5a4d3b2,2203.4,2159.33
INV-1035,pay_3fd97ea7,2984.18,2924.5
INV-1036,pay_dd1ace03,4232.32,4156.139999999999
INV-1037,pay_7b3df999,3283.34,3224.2400000000002
INV-1038,pay_b2ee1061,4377.68,4298.88
INV-1039,pay_36d368aa,3098.08,3042.31
INV-1040,pay_89814001,3670.57,3604.5
INV-1041,pay_8b12c6d0,706.21,693.5
INV-1042,pay_82bf7b78,1525.54,1498.08
INV-1043,pay_9bf35bcd,1802.25,1769.81
INV-1044,pay_894c9858,859.06,841.88
INV-1045,pay_12b7536e,1547.56,1516.61
INV-1046,pay_401ef501,954.51,935.42
INV-1047,pay_1f6d3f54,1750.88,1715.8600000000001
INV-1048,pay_76c867fb,3360.58,3293.37
INV-1049,pay_98d62904,2141.74,2098.91
INV-1050,pay_0c337103,2165.81,2122.49
INV-1051,pay_59ef89f8,1442.78,1413.92
INV-1052,pay_d8ac814e,1701.4,1667.3700000000001
INV-1053,pay_653e49e2,4714.95,4620.65
INV-1054,pay_460d0d66,3416.16,3347.8399999999997
INV-1055,pay_9f446d69,3241.09,3176.27
INV-1056,pay_47a389fe,1270.12,1244.7199999999998
INV-1057,pay_1d2fae31,3781.07,3705.4500000000003
INV-1058,pay_de3eb52f,1235.31,1210.6
INV-1059,pay_f18a9359,2207.55,2163.4
