razorpay_txn_id,captured_amount,fee_deducted,created_at
pay_38cda253,3377.42,67.55,2026-08-23 10:00:00
pay_ea0e0372,612.55,12.25,2026-08-23 10:10:00
pay_6a61756d,1737.63,34.75,2026-08-23 10:20:00
pay_95fed272,1504.45,30.09,2026-08-23 10:30:00
pay_88a1de2f,3814.12,76.28,2026-08-23 10:40:00
pay_c807a605,3545.15,70.9,2026-08-23 10:50:00
pay_dddc585f,4514.81,90.3,2026-08-23 11:00:00
pay_5466438f,891.22,17.82,2026-08-23 11:10:00
pay_db509082,2398.65,47.97,2026-08-23 11:20:00
pay_c7df1f33,634.09,12.68,2026-08-23 11:30:00
pay_74646c28,1483.87,29.68,2026-08-23 11:40:00
pay_5171c894,2774.1,55.48,2026-08-23 11:50:00
pay_cf22bdc0,619.41,12.39,2026-08-23 12:00:00
pay_d05f4cfa,1394.77,27.9,2026-08-23 12:10:00
pay_6e9c773d,3424.48,68.49,2026-08-23 12:20:00
pay_bc18ce99,2952.24,59.04,2026-08-23 12:30:00
pay_fd0b77dc,1491.98,29.84,2026-08-23 12:40:00
pay_c8947593,3151.7,63.03,2026-08-23 12:50:00
pay_2f975b1a,4142.44,82.85,2026-08-23 13:00:00
pay_35d995b9,529.24,10.58,2026-08-23 13:10:00
pay_e36791a5,4126.19,82.52,2026-08-23 13:20:00
pay_9745af88,3641.63,72.83,2026-08-23 13:30:00
pay_3bec416b,2031.13,40.62,2026-08-23 13:40:00
pay_bf3cd35a,1199.66,23.99,2026-08-23 13:50:00
pay_9e0628d1,4807.46,96.15,2026-08-23 14:00:00
pay_a804b31a,2014.68,40.29,2026-08-23 14:10:00
pay_f3cce404,917.36,18.35,2026-08-23 14:20:00
pay_b77115c8,935.22,18.7,2026-08-23 14:30:00
pay_30910be7,4313.72,86.27,2026-08-23 14:40:00
pay_d3b57e9c,3216.77,64.34,2026-08-23 14:50:00
pay_b49cc29f,4132.08,82.64,2026-08-23 15:00:00
pay_789cd8ff,3783.79,75.68,2026-08-23 15:10:00
pay_7815bf6c,2913.03,58.26,2026-08-23 15:20:00
pay_e94f7c60,4879.02,97.58,2026-08-23 15:30:00
pay_d5a4d3b2,2203.4,44.07,2026-08-23 15:40:00
pay_3fd97ea7,2984.18,59.68,2026-08-23 15:50:00
pay_dd1ace03,4232.32,84.65,2026-08-23 16:00:00
pay_7b3df999,3283.34,65.67,2026-08-23 16:10:00
pay_b2ee1061,4377.68,87.55,2026-08-23 16:20:00
pay_36d368aa,3098.08,61.96,2026-08-23 16:30:00
pay_89814001,3670.57,73.41,2026-08-23 16:40:00
pay_8b12c6d0,706.21,14.12,2026-08-23 16:50:00
pay_82bf7b78,1525.54,30.51,2026-08-23 17:00:00
pay_9bf35bcd,1802.25,36.05,2026-08-23 17:10:00
pay_894c9858,859.06,17.18,2026-08-24 00:39:00
pay_12b7536e,1547.56,30.95,2026-08-24 00:40:00
pay_401ef501,954.51,19.09,2026-08-24 00:41:00
pay_1f6d3f54,1750.88,35.02,2026-08-24 00:42:00
pay_76c867fb,3360.58,67.21,2026-08-24 00:43:00
pay_98d62904,2141.74,42.83,2026-08-24 00:44:00
pay_0c337103,2165.81,43.32,2026-08-24 00:45:00
pay_59ef89f8,1442.78,28.86,2026-08-24 00:46:00
pay_d8ac814e,1701.4,34.03,2026-08-23 18:40:00
pay_653e49e2,4714.95,94.3,2026-08-23 18:50:00
pay_460d0d66,3416.16,68.32,2026-08-23 19:00:00
pay_9f446d69,3241.09,64.82,2026-08-23 19:10:00
pay_47a389fe,1270.12,25.4,2026-08-23 19:20:00
pay_1d2fae31,3781.07,75.62,2026-08-23 19:30:00
pay_de3eb52f,1235.31,24.71,2026-08-23 19:40:00
pay_f18a9359,2207.55,44.15,2026-08-23 19:50:00
